שם מלא,תפקיד,רקע מקצועי
עלאא אגבאריה,"יועץ אסטרטגי ופוליטי, מרצה לשיווק ופרסום","עלאא הוא יועץ אסטרטגי ופוליטי, ומרצה לשיווק ופרסום. הוא בעל ניסיון רב ביצירת קמפיינים מסחריים, חברתיים ופוליטיים אפקטיביים. פעיל חברתי עם היכרות והבנה עמוקה של הלך הרוח בקרב החברה הערבית. כותב מאמרים בנושאי שיווק ואסטרטגיה באתרים ישראליים ואתרים מהעולם הערבי. מרצה לשיווק ולפרסום בקריה האקדמית אונו משנת 2018 וביחידה ללימודי חוץ ומרצה אורח באוניברסיטה העברית. בעל תואר ראשון בשיווק ופרסום מהקריה האקדמית אונו, מוסמך פרקטיקום הבצפר בתחומי פלנינג, בניית מותג וניהול תוכן בדיגיטל, ובעל תואר שני במדיניות ציבורית מאוניברסיטת תל אביב."
הילאנא אגבאריה,מנהלת המחלקה לשירותים חברתיים בעיריית אום אלפחם,"הילאנא היא עובדת סוציאלית ואשת חינוך, שעובדת בעיריית אום אלפחם כשלושה עשורים: עד שנת 2013 עבדה במחלקה לשירותים חברתיים בכמה תפקידים, התפתחה מקצועית ועסקה בתחומים טיפוליים כמו הנחיית קבוצות, חינוך מיני וטיפול בטראומה, בילדים נפגעים מינית ובנוער בסיכון, והתקדמה לתפקיד מדריכת ראש צוות. בשנת 2013 החלה לבנות גשר בין חינוך לרווחה והקימה וניהלה את היחידה לטיפול בפרט - יחידת סיוע לפיתוח יכולות המורים לעבודה מקצועית עם ילדים בסיכון והדרה. שלוש שנים לאחר מכן היא ניהלה בנוסף את המחלקה לחינוך יסודי. מאז אוקטובר 2021 היא מנהלת את המחלקה לשירותים חברתיים באום אלפחם, תפקיד מורכב ובעל אתגרים רבים."
יעל אגמון,רכזת ביטחון  במשרד האוצר,"יעל היא רכזת ביטחון במשרד האוצר. לפני כן הייתה רכזת רווחה וביטוח לאומי באגף התקציבים של משרד האוצר. במסגרת תפקידה הקודם הייתה אחראית על תכנון המדיניות ועל תקצוב בתחומי הרווחה, הקליטה והביטוח הלאומי."
אבי אגניהו,"מנהל אגף בכיר לביקורת ברשומ""ק, משרד הפנים ומנהל אגף בכיר לרישוי עסקים ברשומ""ק, משרד הפנים","אבי הוא מנהל אגף בכיר לביקורת ברשומ""ק במשרד הפנים ובנוסף גם מנהל אגף בכיר לרישוי עסקים, שימש בעבר כיו""ר ועדה מרחבית לתכנון ובנייה מעלה נפתלי.  קודם לכן שימש כיו""ר ועדה מרחבית לתכנון ובניה מעלה הגליל. לפני כן ניהל את תקציב אגף הגריאטריה במשרד הבריאות. בשנים 2013-2017 שימש כמנהל הכספים של נספחות צה""ל בארה""ב. בנוסף מתנדב ומנטור בעולים ביחד, ארגון שמקדם שילוב תעסוקתי הולם של אקדמאים מצטיינים ישראלים ממוצא אתיופי במשק הישראלי."
גלעד אגר,"מנהל מחלקה פסיכיאטרית למבוגרים, מנהל מרכז החדשנות, המרכז לבריאות הנפש גהה מקבוצת הכללית","מנהל מחלקה פסיכיאטרית למבוגרים ומנהל מרכז החדשנות במרכז לבריאות הנפש גהה.
שימשתי במשך כ-5 שנים כעורך אתר איגוד הפסיכיאטריה בישראל.
במהלך שנות ההתמחות הייתי נציג מתמחים ארצי באיגוד הפסיכיאטריה."
אלונה אגרצ'וב,מנהלת סיעוד חטיבה פנימית באיכילוב,"אלונה היא מנהלת סיעוד בחטיבה פנימית בבית חולים איכילוב. מאז התפרצות מגפת הקורונה במרץ 2020 היא ניהלה את מחלקות הקורונה בבית החולים, וקודם לכן ניהלה את היחידה למניעת זיהומים מ-2017. את דרכה המקצועית כאחות התחילה בשנת 2007 במחלקת השתלות מח עצם ברמב""ם., ולאחר מכן עברה ב-2014 לניהול אשפוז יום המטו-אונקולוגי בבית חולים איכילוב."
עיינה אדלר,מנהלת האגף הבכיר לפיתוח ההון האנושי ברשויות המקומיות במשרד הפנים,"עיינה מנהלת את האגף הבכיר לפיתוח ההון האנושי ברשויות המקומיות במשרד הפנים משנת 2022. האגף כולל ארבע סביבות עבודה: עתודות ניהוליות (תוכניות הצוערים ברשומ""ק, תוכנית מקום ועוד), הכשרות וידע (פיתוח תורה מקצועית והכשרות בכירים ברשומ""ק), פיתוח ארגוני (תהליכים ארגוניים בהתאם להחלטות ממשלה) וחדשנות ודיגיטציה (תוכנית הזירה, מובילים דיגיטליים). לפני כן היא ניהלה את אגף הכשרות וידע במשרד הפנים והייתה אמונה על הקמת בית הספר החדש לניהול בכיר בשלטון המקומי. קודם לכן ניהלה את פיתוח המדיניות, המחקר וקשרי החוץ בנציבות שירות המדינה. עיינה הצטרפה לשירות המדינה כחלק מתוכנית המצוינות צוערים לשירות המדינה וקודם לכן הייתה מנהלת הדרכה במגזר העסקי ומנהלת פרויקטים במגזר השלישי."
שילה אדלר,"מנכל חברת פסגות ירושלים בע""מ","שילה הוא מנכ""ל חברת פסגות ירושלים בע""מ. בעבר שימש כראש מינהל התיישבות במשרד הבינוי והשיכון, ולפני כן היה ראש מינהל תשתיות במשרד התחבורה. קודם לכן היה מנכ""ל מועצת יש""ע ולפני כן שימש כמנכ""ל הגרעין התורני בלוד. במקביל, הוא חבר בפורום מנהיגות צעירה של נשיא המדינה, משמש כיו""ר (בהתנדבות) של המכינה הקדם צבאית בעלי, מכהן כחבר מליאת המועצה האזורית בנימין ומשמש כיו""ר בתנועת רעננים - צעירי הציונות הדתית. כיום משרת שילה כסמג""ד במילואים בחטיבת אלכסנדרוני."
אריק אדלר,גזבר עיריית בני ברק,"משנת 2004 אריק הוא גזבר ומנהל משאבי האנוש של עיריית בני ברק - שותף בכיר לעיצוב ויישום מדיניות וראש צוות ההיגוי העירוני לתהליך ההבראה והשינוי הארגוני. בשנים 2004-2000 היה סמנכ""ל כספים ומנהל אגף משאבי אנוש בחברת עמיד. במקביל, עוסק אריק בפעילות ציבורית והתנדבותית: מרצה מטעם משרד הפנים בתוכניות הכשרה לליווי רשויות בתהליכי הבראה והתחדשות עירונית, ומלווה כלכלי בהתנדבות של העמותות הציבוריות יד לאחים ורפואה וחיים, המעניקות שירותי סעד רפואי וחברתי לאוכלוסיות נזקקות בחברה הישראלית. אריק משרת במילואים כראש ענף כלכלה ביחידה ייעודית בפיקוד צפון."
משה אדלר,"מנכ""ל מועצה מקומית רכסים","משה כיום מכהן כמנכ""ל מועצה מקומית רכסים.
 
קודם לכן כיהן כמנהל מגזר חרדי וסגן מנהל אדמיניסטרטיבי בכללית מחוז חיפה וגליל מערבי.

וקודם לכן כעוזר מ""מ ראש העיר חיפה.
קדנצייה כעוזר ראש המועצה המקומית רכסים וכמנהל עיר ללא אלימות. 
לפני כן שימש בתפקידים ציבוריים נוספים,
באגף התרבות בעיריית חיפה, ניהל רשת גני ילדים בחיפה,
קידם בהתנדבות את פיתוח סניף איחוד הצלה חיפה כראש הסניף."
