שם מלא,תפקיד,רקע מקצועי
ליסה לוי,חברת סגל ואחראית התנסות מעשית בבי״ס מנדל למנהיגות חינוכית,"ליסה חברת סגל בבי״ס מנדל למנהיגות חינוכית ואחראית על ההתנסות המעשית של העמיתים. בנוסף היא  ראשת תחום יסודי בתוכנית ELA לפיתוח עתודה ניהולית ברשת דרכא. לפני כן עמדה בראש תחום עתודת מנהלים במכון אבני ראשה. במסגרת תפקידה זה הייתה אחראית על תהליכי האיתור, המיון וההכשרה לניהול של פרחי ניהול מרחבי הארץ. קודם לכן היא ניהלה במשך שמונה שנים את בית הספר הניסויי יחד מודיעין, המשלב ילדים מאורחות חיים יהודיים מגוונים - דתיים, חילוניים וכל מה שביניהם על הרצף - תוך חתירה לחינוך לזהות יהודית ציונית ובניית מרחב ציבורי משותף. ביה""ס פעל כחלק מקהילת יחד הדוגלת בתפיסה קהילתית וחינוכית רחבה, ובמסגרת קמפוס משלב הכולל גנים, בית ספר יסודי, תיכון ובית ספר גוונים לחינוך מיוחד. קודם לכן לימדה ליסה בבית ספר יהודי בניו יורק ובראשית דרכה המקצועית עסקה במשך כעשר שנים בעריכת דין."
אינסה גולדנברג לוי,"היועצת המשפטית בחברת נמל אשדוד בע""מ","אינסה היא היועצת המשפטית של החברה הממשלתית נמל אשדוד בע""מ. עורכת דין בעלת ותק של מעל 20 שנים, מתמחה במשפט מינהלי-ציבורי, ומובילה את תחום היזמות השלטונית במקרקעין עירוניים/ציבוריים. כיהנה עד לאחרונה כיועצת המשפטית של עיריית ראשון לציון, העיר הרביעית באוכלוסייתה בישראל, ובמסגרת תפקידה הייתה אחראית על כלל השירותים המשפטיים שמוענקים לעירייה במגוון רחב של נושאים, לרבות מקרקעין, תכנון ובנייה, מיסוי מוניציפלי ותשלומי חובה, חוזים מכרזים והתקשרויות, משפט מינהלי, תביעה ואכיפה עירונית, דיני עבודה ומשמעת ועוד. קודם לכן, במשך כ-16 שנים, כיהנה אינסה כשותפה מנהלת ומייסדת של משרד עורכי דין עפר שפיר ושות' - משרד בוטיק שמתמחה בתחום השלטון המקומי ומעניק שירותים לעשרות רשויות מקומיות, וכעו""ד בשירות השלטון המקומי, התאגידים המוניציפליים, החברות הממשלתיות וגופים ציבוריים נוספים."
רות קנולר לוי,"ראשת אגף תכנים, תוכניות הדרכה והשתלמויות במינהל חברה ונוער במשרד החינוך","רות היא ראשת אגף תכנים, תוכניות הדרכה והשתלמויות במינהל חברה ונוער במשרד החינוך החל משנת 2018. במסגרת תפקידה היא מנהלת 18 מרכזי הדרכה במחוזות ובמטה כמרכזי למידה ופיתוח. בנוסף, היא מייסדת ומנהלת את תוכנית הצוערים לחינוך הבלתי פורמלי לרשויות מקומיות פריפריאליות במסגרת עתודות לישראל, שותפות של משרד החינוך ועמותת שותפויות רוטשילד הפועלת מטעם קרן אדמונד דה רוטשילד. כמו כן רות מובילה את פיתוח המאגר הלאומי לשעת חינוך ואת תוכנית הלימודים החברתית במסגרת הפיתוח לתכנים חברתיים, ואחראית על הכשרת בעלי תפקידים ומנהלים בכירים בחינוך החברתי, על המעורבות החברתית, על ההכנה לצה""ל ועל המנהיגות הצעירה במשרד החינוך, וגם מובילה את התוכנית האסטרטגית של המינהל והחינוך הבלתי פורמלי."
ציונה לוי,מנהלת אגף א׳ שפות במזכירות הפדגוגית במשרד החינוך,"ד״ר ציונה לוי היא מנהלת אגף א’ שפות במזכירות הפדגוגית במשרד החינוך בישראל, שם היא מובילה את עיצוב מדיניות הוראת השפות ברמה הלאומית והטמעת תוכניות לקידום הוראת 14 שפות במערכת החינוך, הכוללות שפות ליבה (עברית וערבית, הנלמדות כשפות אם או כשפות נוספות בהתאם למגזר ואנגלית), שפות חובה (צרפתית וערבית לבתי ספר עבריים) ושפות בחירה (ספרדית, איטלקית, רוסית, סינית, גרמנית, יידיש ואמהרית). 

ציונה פיתחה והובילה את התוכנית הלאומית לקידום האנגלית, שמטרתה לשפר את רמת האנגלית של תלמידי ישראל ולהתאים אותה לסטנדרטים בינלאומיים. במסגרת זו:

• תוכנית הלימודים באנגלית עודכנה כדי להתאים להמסגרת האירופית המשותפת לשפות (CEFR), וכך להבטיח שהכישורים הנרכשים יהיו רלוונטיים ברמה הגלובלית.

• הושם דגש על פיתוח מיומנויות אוריינות ושימוש באנגלית כשפה תקשורתית, עם דגש על השפה הדבורה.

• שולבו מתודות הערכה חדשניות שמתמקדות בתהליך הלמידה וכן שולבה טכנולוגיה בהוראה ובהערכה של שפה דבורה. במסגרת זו פותחו סביבות למידה דיגיטליות ללימוד שפות, כולל פלטפורמות אינטראקטיביות וסימולציות שיח.  

ציונה מחויבת להעצמת המורים ולהתמקצעותם. במסגרת זו היא ייסדה 68 קהילות למידה מקצועיות למורים ברחבי ישראל, המתמקדות בשיפור ההוראה, פיתוח שיח מקצועי ושיפור האנגלית הדבורה של המורים עצמם.

הקריירה שלה בתחום החינוך החלה בהוראת אנגלית, ובהמשך שימשה מדריכה מחוזית, מנחה במרכז להכשרת מורים, וכן הובילה את תחום האנגלית ברשת החינוך אורט. היא בעלת דוקטורט בתחום מבחני שפה מאוניברסיטת תל אביב, ופרסמה מאמרים בינלאומיים בנושאי הערכה דינמית, אוריינות ושימוש בהערכה לשיפור הלמידה.

המטרה המרכזית של ציונה היא לפתח שותפויות אסטרטגיות לקידום הוראת שפות בישראל ולחזק את הקשר בין מערכת החינוך לצרכים האקדמיים והתעסוקתיים של המאה ה-21."
מאיה הופמן לוי,מנהלת מרכז הפיתוח של Dell Technologies בבאר שבע,"מאיה היא מנהלת מרכז הפיתוח של Dell Technologies בבאר שבע. לפני כן שימש כמנכ""לית מרכז הפיתוח של Dell EMC בבאר שבע משנת 2013 והחלה את דרכה ב- EMC ישראל בשנת 2011. במסגרת תפקידה הקודם הייתה אחראית על ניהול הפעילות של Dell EMC בנגב, על הרחבת פעילותה, על העמקת הקשרים עם אוניברסיטת בן-גוריון, על תמיכה בפיתוח הקהילה באזור הדרום ועל ביסוס היכולות ארוכות הטווח של החברה בנגב. מאיה היא אשת משאבי אנוש והחלה את דרכה המקצועית במסגרת שירותה הצבאי כמאבחנת מחקר בממד""ה. בהמשך מילאה תפקידים כגון דירקטורית משאבי אנוש בחברת Atlantium Technologie, מנכ""לית חברת ++See ומנהלת משאבי אנוש בחברת Compugen."
גדי לוי,"יזם ויועץ אסטרטגי בתחום הבריאות | מלווה ארגונים בהובלת שינוי, פיתוח שירותים וצמיחה.","בעשרים השנים האחרונות כיהן גדי במגוון תפקידי ניהול ופיתוח מערכות בריאות במגזר הציבורי והפרטי. בין היתר, כמשנה ליו״ר צבר רפואה - בית חולים בבית,  כמנהל השיווק והפיתוח העסקי של המרכז הרפואי רבין (ביה""ח בילינסון וביה""ח השרון), מנהל כלל השירותים שמחוץ לסל בביה""ח בילינסון, סמנכ""ל שיווק ופיתוח עסקי של בית החולים הרצליה מדיקל סנטר, סמנכ”ל בקבוצת עמל ומעבר, ומנכ""ל רשת ת.ל.מ - רשת ארצית לטיפול פסיכולוגי ומערך בריאות הנפש"
אלי לוי,"סמנכ""ל כלכלה ופיתוח וסגן ראש חטיבה המרכזים הרפואיים הממשלתיים, משרד הבריאות","החל משנת 2019 משמש בתפקיד מנהל אגף תקצוב ותמחור בחטיבת המרכזים הרפואיים הממשלתיים, במשרד הבריאות. במסגרת תפקידו  אחראי על לגיבוש סטנדרטים והנחיות מקצועיות מחייבות בתחומים הכלכליים ובהוצאת תכניות עבודה תקציביות למרכזים הרפואיים. בנוסף אחראי על ייצוג בתי החולים התחומים הרגולטורים בין היתר תמחור פרוצדורות, כללי התחשבנות בין מרכזים רפואיים  לקופות חולים, מודל תקצוב ועוד. לפני כן עבד 4 שנים במשרד הכלכלה בתפקיד מנהל תחום ביקורת ביצוע השקעות במשרד הכלכלה ועוד קודם לכן בשנים 2012-2015 עשה סטאג' בראיית חשבון והיה רו""ח מבקר בפירמת  BDO  זיו האפט ושות'."
ניר לוינגר,"מנכ""ל הפעילות בישראל (CBC) של קבוצת קוקה-קולה","ניר הוא מנכ""ל הפעילות בישראל של קבוצת קוקה-קולה. הוא בעל ניסיון רב בניהול אנשים, בהובלת תהליכים בתחום המכירות ובעיסוק נרחב בבניית אסטרטגיה עסקית, שיווקית ומסחרית בסביבה קמעונאית."
יצחק מלאכי לוינגר,מקדם את תחום יהדות התפוצות,"יצחק עוסק בקידום נושא יהדות התפוצות. לפני כן שימש כראש המועצה המקומית קריית ארבע ובמסגרת תפקידו היה אחראי על ניהול ותפקוד תקין של הרשות כולל נושאי תכנון ובנייה והובלת תוכניות לפיתוחה. קודם לכן היה מנכ""ל המרכז החינוכי במדרשת חברון ולפני כן ניהל את האגודה השיתופית שבות רחל ועסק בליווי והקמת היישוב משלביו הראשונים. יצחק עבד כשליח הסוכנות היהודית בכמה מדינות בברית המועצות, ובמסגרת הסוכנות היהודית גם עסק בקליטת עולי מבצע שלמה מאתיופיה, תוך ליווי והכשרת צוות ההדרכה שסייע להם להיקלט בארץ."
רבקה לויפר,"סמנכ""לית כלכלה ופיננסים ברשות החשמל","רבקה מכהנת כסמנכ""לית כלכלה ופיננסים ברשות החשמל. זאת לאחר מספר תפקידים באגף התקציבים במשרד האוצר בתחומים שונים - תכנון ומקרקעין, רווחה, ביטוח לאומי וקליטת עלייה."
עדי לויתן,"מנכ""לית אנלייט, חברה גלובלית מובילה בתחום האנרגיות המתחדשות","עדי מכהנת כמנכ""לית חברת אנלייט, שחקנית מובילה ובולטת בתחום האנרגיות המתחדשות בארץ ובעולם. היא מביאה עמה יותר משני עשורים של ניסיון ניהולי בכיר בחברות גלובליות. לפני הצטרפותה לאנלייט כיהנה בתפקידי הנהלה בכירים בחברת 3M, שנמנתה עם חברות ה-Fortune 100. בתפקידה האחרון ב־3M כיהנה כמנכ״לית חטיבה. קודם לכן הייתה שותפה בחברת הייעוץ מקינזי בה עבדה 15 שנים בסין, בישראל ובארצות הברית.

לעדי תואר ראשון בהצטיינות יתרה בכלכלה ובלימודי מזרח אסיה מהאוניברסיטה העברית בירושלים, וכן דיפלומה בלימודי השפה הסינית מאוניברסיטת בייג'ינג ומאוניברסיטת צ'ינגחואה. בצעירותה עבדה עדי עם קבוצות בני נוער יהודים מהתפוצות."
עמנואל (מנו) פיקאר לויתן,"מנהלת האחיות, הדסה עין כרם","התחלתי את מסעי המקצועי כאחות במחלקת אונקולוגיה ילדים בביה""ח הדסה. במקביל הרציתי בבית הספר לסיעוד באוניברסיטה העברית. את התפקיד הניהולי הראשון עשיתי כאחות ראשית במחלקת ילדים, במסגרת זו הקמתי את אשפוז יום ילדים.
בהמשך  עסקתי בניהול  רוחבי של ביה״ח כאחות מנהלת תורנית.
במשך חמש שנים ניהלתי את הסיעוד בבית החולים השיקומי לילדים אלי""ן,
ובשנים האחרונות אני מובילה את הסיעוד בהדסה עין כרם."
רחל לוצאטי,ראש מערך אישורי תרופות ורופאה אחראית לאישורים ומידע בכללית,"ד""ר רחל לוצאטי היא ראש מערך אישורי תרופות ורופאה אחראית לאישורים ומידע בכללית. קודם לכן שימשה כרופאה אחראית במוקד סיוע לאישורים רפואיים במחוז צפון של שירותי בריאות כללית. בתפקידה הקודם היא הובילה תהליכי שירות וקידום בריאות של שירותי בריאות כללית במחוז חיפה. במסגרת תפקידה כמנהלת המרפאות של הכללית בחיפה היא אחראית על בניית תוכניות עבודה ועל הובלת תהליכים ארגוניים תוך ליכוד הצוות ורתימתו לקידום בריאות המטופלים. כמו כן היא חלק ממערך החירום ביישוב שהיא מתגוררת בו. בשנים 2012-2005 היא הייתה רופאת משפחה ומנהלת מרפאה של שירותי בריאות כללית בכרמיאל שנתנה שירותי רפואה ראשונית ורפואה יועצת, ועל ניהול מרפאה זו ועל הובלת תהליכי בריאות נוספים בעיר קיבלה פרס מצוינות בניהול ממנכ""ל הכללית. קודם לכן הייתה רופאת משפחה במרפאה של שירותי בריאות כללית בנהריה. במסגרת עשייתה החברתית היא הקימה קבוצות ברשתות החברתיות לשיתוף ולסיוע הדדי קהילתי והשתתפה בפעילות בקהילת החדשנות של החברה לפיתוח חיפה -.Bewellhaifa, בשנים 2012-2001 היא הדריכה בבתי ספר שונים בנושאים כגון חינוך מיני, נזקי עישון ועוד ובמקביל הדריכה עולים חדשים מבני המנשה במעון הקליטה שלהם והעניקה להם טיפול רפואי. כמו כן היא הייתה רופאה של חיילי צד""ל ובני משפחותיהם עד שעברו לבתי הקבע שלהם. רחל היא בוגרת בית הספר לרפואה של הדסה עין כרם ומומחית ברפואת משפחה מטעם הטכניון. את הסטאז' ברפואה עשתה במרכז הרפואי זיו בצפת."
עינב לוק,מנהלת אגף בכיר שירות פסיכולוגי ייעוצי במשרד החינוך,"עינב היא מנהלת אגף בכיר שירות פסיכולוגי ייעוצי במשרד החינוך. בתפקידה הקודם היא כיהנה כמנהלת אגף תוכניות סיוע ומניעה – גם הוא במסגרת זו ושם היא הובילה פיתוח של תוכניות מערכתיות לקידום רווחה נפשית ולצמצום התנהגויות סיכון במערכת החינוך. התוכניות הנ""ל עוסקות באקלים מיטבי, בצמצום אלימות ובריונות, בקידום מיניות בריאה, במניעת פגיעה מינית בקרב ילדים ומתבגרים, במניעת שימוש לרעה בסמים, אלכוהול וטבק, בקידום התנהלות מיטבית ברשת ובמניעת פגיעה מקוונת, בכישורי חיים ובקידום שותפות הורים ומערכת החינוך. לפני כן היא הייתה מנהלת היחידה לקידום אקלים מיטבי וצמצום אלימות בשפ""י ובמסגרת זאת הייתה אחראית על פיתוח התוכנית המערכתית המופעלת בישראל בתחומי האקלים, האלימות וההתמודדות עם בעיות התנהגות תוך יצירת התאמות תרבותיות ומגזריות והתאמה למציאות המשתנה. את דרכה החלה עינב כיועצת חינוכית בבית ספר יסודי בבאר שבע, ובהמשך הייתה מדריכה במחוז דרום לקידום אקלים מיטבי ולצמצום אלימות ושם הובילה תהליכים רשותיים והדריכה בתי ספר רבים בכל שלבי החינוך הממלכתי ובחברה הבדואית."
לימור לוריא,"סמנכ""לית וראשת אגף שיקום במשרד הביטחון","לימור היא סמנכ""לית וראשת אגף שיקום נכים במשרד הביטחון. בתפקידה הקודם שימשה כיועצת מקצועית לשר העבודה, הרווחה והשירותים החברתיים. לפני כן שימשה כסגנית ראש מינהל הגמלאות ומנהלת אגף נכות המוסד בביטוח לאומי. קודם לכן שימשה כמנהלת אגף א' נכות במוסד לביטוח לאומי, והייתה מופקדת על מערך הקצבאות לבעלי נכויות. בנוסף, הייתה שותפה בגיבוש מדיניות בכל הנוגע להליכי חקיקה הקשורים במקבלי הקצבאות ותנאי זכאותם ואחראית על השירות הניתן לבעלי נכויות בכל הארץ. בין השנים 2005-2009 שימשה לימור כיועצת סמנכ""ל קצבאות במוסד לביטוח לאומי. בארבע השנים שקדמו לכך עבדה לימור כעוזרת מנכ""ל המוסד לביטוח לאומי. בשנים 1994-2000 שימשה לימור כמזכירת מועצת הביטוח הלאומי, המהווה את דירקטוריון המוסד לביטוח הלאומי ובמקביל עבדה כמתרגלת בחוג ליחסים בינלאומיים באוניברסיטה העברית."
חנן לזימי,"סגן בכיר לממונה על השכר והסכמי עבודה, משרד האוצר",משמש כיום כסגן הממונה על השכר במשרד האוצר. אחראי על יחסי העבודה והסכמי השכר במשרדי הממשלה וכן על נושאי מאקרו של אגף השכר. עובד במשרד האוצר כ-9 שנים
נדב לחמן לזר,"מנהל מינהל פיתוח כלכלי בשלטון המקומי, משרד הפנים","נדב משמש כמנהל מינהל פיתוח כלכלי בשלטון המקומי, במשרד הפנים. בעבר שימש כמנהל מחוז מרכז במשרד הבינוי והשיכון, מנהל אגף בכיר נכסים וחברות וכיועץ בכיר למנכ""ל המשרד, עבד כעוזר למנכ""לית המכון למנהיגות וממשל (אלכא) בג'וינט ישראל, וכיהן כיו""ר ומנכ""ל אגודת הסטודנטים למדעי הטבע בגבעת רם, וכסגן יו""ר אגודת הסטודנטים של האוניברסיטה העברית. משרת במילואים כמפקד תא תכנון בחטיבת שריון בדרגת סא""ל."
אסף ליברמן,מגיש בטלוויזיה וברדיו כאן בתאגיד השידור הישראלי,"אסף הוא עיתונאי, מגיש תוכנית הרדיו קלמן-ליברמן בכאן רשת ב', המשדרת מדי בוקר לכ-500 אלף מאזינים, עוסקת באקטואליה היומיומית בישראל ובעולם ומארחת את קובעי המדיניות בארץ: פוליטיקאים, כלכלנים, גורמי ביטחון ועוד. במקביל, הוא מגיש בכאן 11 בטלוויזיה את תוכנית התחקירים זמן אמת ואת התוכנית הפוליטית השבועית ""הכל פוליטי"". בעבר מילא תפקידים עיתונאיים וניהוליים בגלי צה""ל, ביניהם מגיש יומן הבוקר של התחנה וסגן ראש מחלקת החדשות. כיום אסף גם מרצה לעיתונאות באוניברסיטת אריאל ומשדר מוזיקה בתחנת הרדיו כאן 88."
אלישבע ליוש,מהנדסת העיר קריית מלאכי,"אלישבע היא מנהלת תכנון ביצוע בחטיבת המבנים במוריה - חברה לפיתוח ירושלים. בתפקידה הקודם כיהנה כמהנדסת מועצה מקומית אורנית, וקודם לכן הייתה מהנדסת העיר ומנהלת אגף הנדסה בעיריית מודיעין עילית ושימשה כחברת דירקטוריון בחברה הכלכלית של העיר מודיעין עילית. מתוקף תפקידה הייתה אחראית על כל התחום הפיזי בעיר ברמת התכנון, הסטטוטוריקה, התחזוקה ופיתוח העיר"
שמואל ליטוב,בעלים של חברת א.ש.ל לייעוץ אסטרטגי וניהול פרויקטים ומנכל תאגיד ליבוא עובדים זרים לבנייה,"לצד עיסוקו בחברות פרטיות, שמואל מכהן כיום כיו""ר הדירקטוריון של החברה הממשלתית לשיקום מצוקי הים התיכון, בנוסף, כחבר בדירקטוריונים ציבוריים וביניהם-  קופת חולים מאוחדת, סגן יו""ר קק""ל, בניני האומה, הרשות לניירות ערך.
בתפקידו האחרון שימש שמואל כמנכ""ל עיריית בני ברק בין השנים 2019-2024. בתחילת דרכו המקצועית עבד כיועץ מקצועי ליו""ר ועדת הכספים ח""כ משה גפני במסגרת תפקידו ריכז את קשריו עם משרדי ממשלה וכיהן כחבר בוועדה בראשות השופטת שרה פריש לקביעת קריטריונים למתן הכרה למוסדות ציבור לפי סעיף 46 לפקודת מס הכנסה. לאחר מכן הוא היה ראש אגף בכיר פריפריה חברתית במשרד לפיתוח המגב והגליל. במקביל, כיהן שמואל כחבר מועצה ממונה ביישוב מג'דל שמס ברמת הגולן."
נעה ליטמנוביץ,"סמנכ״לית כספים, Baromar","נעה היא ראשת אגף בכיר כלכלה ברשות לתחבורה ציבורית. לפני כן הייתה ראשת יחידת אסטרטגיה באגף התקציבים במשרד האוצר ובמסגרת תפקידה שימשה כיועצת לממונה על התקציבים. כמו כן היא פעלה כיועצת הבכירה למנכ""ל משרד האנרגיה ובמסגרת זו הייתה אחראית עלן נושאי ליבה של המשרד ובהם פיתוח משק הגז הטבעי ותכנון אסטרטגי של משק האנרגיה. קודם לכן עבדה נעה ככלכלנית במועצה הלאומית לכלכלה במשרד ראש הממשלה, שם עסקה בנושאי דיור ואנרגיה."
גילי לייבושור,מנהלת יוזמת אורחא - בשביל צמיחה רגשית וחברתית בישראל,"גילי היא פסיכולוגית קלינית, עוסקת בפיתוח תחום הלמידה הרגשית-חברתית בישראל. מנהלת כיום את יוזמת ה SEL אשר שואפת לחזק את המוביליות החברתית של ילדים ונוער מאוכלוסיות מוחלשות באמצעות פיתוח, הפצה והטמעה של ידע, מודלים ומנגנונים מבוססי ראיות מההקשר הישראלי המשפרים את היכולת של ילדים וילדות לווסת רגשות, להתמודד עם אתגרים וכשלונות ולבנות מערכות יחסים אפקטיביות - במערכת החינוך הפורמלית והבלתי פורמלית. גילי חברה בועדת ההיגוי הבינלאומית של ארגון קרנגה (KARANGA-The Global Alliance for SEL). בעבר חברת צוות מו""פ באבני ראשה, בו עסקה בפיתוח תהליכי פיתוח מקצועי למנהיגות בית ספרית השאובים מעולמות ה SEL והתמיכה בצרכים פסיכולוגיים של צוותים חינוכיים ומנהיגות חינוכית. תרגמה וערכה את ""המדריך הבית ספרי להטמעה של למידה רגשית-חברתית"" והיתה אחת הכותבת של המאמר ""ניהול מצמיח: כיצד מצמיחים צוות חינוכי שמרגיש במיטבו ומתפקד היטב"". קודם לכן, גילי עבדה בשפ""ח קרית גת בו הקימה את המרכז הטיפולי וכמו כן, מתוך התמחותה בעבודה עם טראומה עבדה במרכז החוסן שבמועצה האזורית חוף אשקלון."
מאהר אבו ליל,גזבר המועצה המקומית עין מאהל,"מאהר הוא גזבר המועצה המקומית עין מאהל משנת 2014. את התמחותו עבר במשרד של רו""ח אברהם קטן בירושלים, ובשנים 2003-2002 המשיך את ההתמחות במשרד רו""ח אימאן זועבי בנצרת. בשנים 2008-2003 הוא היה מנהל כספים וחשב שכר בחברת תנורגז תעשיות בטבריה. בשנים 2013-2010 היה מנהל כספים במפעל תמנע מוליכים באזור התעשייה תרדיון. בשנים 2013-2010 ליווה עסקים כחונך מטעם משרד התמ""ת, ובהמשך ערך ביקורות מטעם משרד הפנים במועצה מקומית שעב דרך משרדו של רו""ח ויסמן דוד. בשנים 2013-2003 שימש כרו""ח עצמאי בעל משרד לראיית חשבון בעין מאהל ועסק בייצוג לקוחות מול רשויות המס, הגשת דוחות לעצמאיים ולחברות, ביקורת דוחות כספיים לחברות ולעמותות וליווי עסקים מול בנקים. בשנת 2020 היה חונך עסקי מטעם משרד התעשייה, המסחר והתעסוקה."
דליה לין,מנהלת מנהל החינוך בעיריית תל אביב - יפו,"דליה היא מנכלי""ת מועצת גני תקווה. בעברה ניהלה את אגף החינוך בעיריית רמת גן, ובמסגרת תפקידה הייתה ממונה על כל מערכת החינוך בעיר, כולל תחום הצעירים והספורט. קודם לכן הייתה מנהלת בית ספר תיכון ברעננה ומפקחת כוללת במשרד החינוך. את עבודתה במערכת החינוך החלה דליה בתיכון בליך ברמת גן כמורה לאזרחות, כמחנכת וכסגנית מנהל התיכון."
יעל לינדנברג,"סגנית הממונה על התקציבים, אגף התקציבים משרד האוצר","מאז מרץ 2023 רכזת צוות הבריאות באגף התקציבים. במסגרת התפקיד אחראי מטעם משרד האוצר על תקצוב משרד ומערכת הבריאות בסך של עשרות מיליארדי שקלים. לצד זאת, מובילה תהליכה חקיקה ונויים מבניים בתחומים אלה. בנוסף, משמשת כדירקטורית בחברת רכבת ישראל. בתפקידה הקודם יעל היתה רכזת השיכון והדתות באגף התקיבים ורפרנטית בצוות התעסוקה."
שי לינדנר,"סמנכ""ל כספים בקבוצת שפיר","שי הוא סמנכ""ל כספים בקבוצת שפיר. בתפקידו הקודם היה מנהל זכיינות תחבורה בחברת שפיר הנדסה ומנכ""ל של כביש 6, כביש 16 ורכבת קלה ירושלים. לפני כן היה יועץ כלכלי לשר הכלכלה והתעשייה, ובמסגרת תפקידו עסק בין השאר בעידוד השקעות, בחדשנות ובעסקים קטנים ובינוניים. בעבר מילא מגוון תפקידים בחברת פז נפט במשך שבע שנים."
מולי לינדר,מנהל המרכז הרפואי שער מנשה,"ד""ר מולי לינדר הוא מנהל המרכז הרפואי לבריאות הנפש שער מנשה החל משנת 2026. קודם לכן ניהל במשך חמש שנים מחלקה פסיכיאטרית פתוחה ומערך לטיפול בנפגעי/ות טראומה מינית ועבד כסגן מנהל בבית החולים. לפני כן עבד 11 שנים בבית החולים הפסיכיאטרי לב השרון, שם התמחה ובהמשך עבד כרופא בכיר. הוא חבר סגל וראש החוג לפסיכיאטריה בפקולטה לרפואה של הטכניון ופעיל מאוד בתחום הוראת סטודנטים לרפואה ומתמחים. בעבר הוא כיהן כמה קדנציות כחבר ועד איגוד הפסיכיאטריה בהר""י, ובועד היפ""ם – האיגוד לקידום מניעה, אבחון וטיפול בטראומה מינית. מולי הוא מומחה בפסיכיאטריה ובמינהל רפואי – ובתחום זה התמחה בשער מנשה, בהלל יפה ובחטיבת המרכזים הרפואיים הממשלתיים במשרד הבריאות. את הסטאז' עשה בבית החולים מאיר."
רוני לינדר,עורכת מוסף סוף השבוע של TheMarker,"רוני היא עורכת מוסף סוף השבוע של העיתון הכלכלי TheMarjer. לפני כן הייתה כתבת ובעלת טור בנושא כלכלת בריאות בעיתון TheMarker משנת 2008, וכן כתבת מגזין ותחקירים בכירה ופרשנית. היא ייסדה את תחום סיקור כלכלת הבריאות בעיתון, והיא כותבת כתבות עומק ותחקירים על מערכת הבריאות בדגש על כלכלת בריאות ומדיניות בריאות. קודם לכן עבדה בעיתון TheMarker ככתבת צרכנות וערכה כתבות תחקיר בנושאים כגון בנק הדם הטבורי, יוקר המחיה וחשיפת עוולות צרכניות. בשנים שקדמו לכך שימשה כעוזרת מנכ""לית וסגנית דוברת המועצה הישראלית לצרכנות. בשנת 2011 הייתה חברה בקבוצה המייסדת של ארגון העיתונאים ושימשה כחברת מזכירות הארגון וכחברה במועצת העיתונות מטעם הארגון."
אילאיל שחר ליס,"משנה למנכ""ל חטיבת החדשות בתאגיד השידור כאן, וחברה במועצת העיתונות","אילאיל היא משנה למנכ""ל חטיבת החדשות בתאגיד השידור כאן. בעברה עבדה כראש מחלקת החדשות בגלי צה”ל ובמסגרת תפקידה הייתה אחראית על מהדורות החדשות שמשודרות בתחנה, על תוכניות האקטואליה ועל הכתבים – החיילים והאזרחים. עוד היא משמשת כפרשנית מדינית של גלי צה""ל תפקיד שמילאה יותר מעשור, ובמסגרתו התלוותה לעיתים לנסיעות ראש הממשלה לחו""”ל."
אודי ליפשיץ,מנכ״ל bluED,"אודי הוא יזם ומנכ""ל ארגון bluED  אשר לוקח השראה מעקרונות ה״אזורים הכחולים בעולם״ אזורים בהם חיים באריכות ימים ובאיכות חיים גבוה ומביא אותם לעולמות החינוך הטיפול והשיקום .במשך  25 השנים האחרונות הקים וניהל ארגוני חינוך וטיפול גדולים  בעלי היקפים גדולים של עובדים ותקציבים. הוא הוביל במשך השנים פרויקטים רבים בתחום החינוך המיוחד, יזם הקמה של מסגרות ייחודיות ופיתח מודל עבודה ייחודי להתפתחות אישית של תלמידים עם צרכים מיוחדים כולל יישומים טכנולוגיים. לאודי ניסיון רב בהובלת צוותי ניהול וחינוך ופיתוחם, ולאחרונה היה ממובילי המאבק להכנסת בתי הספר המוכרים שאינם רשמיים בחינוך המיוחד לרפורמת אופק חדש."
מיכל ליפשיץ,"ראש ענף תעצומות, מערך בריאות הנפש, צה״ל","מיכל היא פסיכיאטרית מומחית ופסיכותרפיסטית. משמשת כראש הענף הקליני במערך בריאות הנפש מאז 2022. במסגרת תפקידה אחראית על קביעת המדיניות בתחום בריאות הנפש בצה״ל, הכשרת קציני בריאות נפש ובקרה עליהם, ניהול סיכונים ומניעת אובדנות. לפני כן ביצעה שורת תפקידים במערך, האחרון שבהם היה ראש מדור פסיכיאטריה. למדה רפואה כעתודאית באונ׳ בן-גוריון בנגב והתמחתה במרכז לבריאות הנפש שלוותה. במסגרת שירותה בחיל הרפואה אחרי לימודיה שימשה כרופאה גדודית וחטיבתית במערך ההגנה האוירית בחיל האויר. במקביל להתמחותה בפסיכיאטריה שימשה כמפקדת פלוגת רפואה מרחבית בפיקוד הדרום."
